country,unit,window_start,parameter,m,point,lower,upper,within_sd,between_sd,truth,covers,half_width
BOLIVIA,BENI,2017-11-19,a_rain,72,0.024250161764705885,-0.22160279472117372,0.27010311825058547,0.09943675646433293,0.07540672851814527,0.3,False,0.2458529564858796
BOLIVIA,BENI,2018-08-19,a_temp,72,0.8694996197183099,-3.0081986677808645,4.747197907217484,1.7341096990592388,0.9420536829212981,1.0,True,3.8776982874991743
BOLIVIA,BENI,2018-08-19,a_rain,72,0.2371433802816901,0.04454216823162027,0.42974459233175993,0.06721732402690567,0.07053781053881998,0.3,True,0.19260121205006983
BOLIVIA,BENI,2020-09-20,a_temp,72,0.3714513676470588,-0.9874432750319628,1.7303460103260804,0.43199097783494755,0.5324915565013413,1.0,True,1.3588946426790216
BOLIVIA,BENI,2020-09-20,a_rain,72,0.27489513235294116,0.1623490733362568,0.3874411913696255,0.0328188509824586,0.04621597383825254,0.3,True,0.11254605901668435
BOLIVIA,BENI,2021-12-05,a_temp,72,0.18347460869565216,-4.296450429940701,4.663399647332006,2.253723506482901,0.378181299271854,1.0,True,4.479925038636353
BOLIVIA,BENI,2021-12-05,a_rain,72,0.10219066666666665,-0.188817627789086,0.3931989611224193,0.11690280525334475,0.09027455792692625,0.3,True,0.29100829445575266
BOLIVIA,BOLIVIA,2015-01-11,a_temp,72,1.0693848676470585,-1.7196233936765557,3.8583931289706728,0.548845888837016,1.2834615890084813,1.0,True,2.7890082613236142
BOLIVIA,BOLIVIA,2015-01-11,a_rain,72,0.12155349999999998,-0.5907326591062337,0.8338396591062337,0.12350810220017243,0.3339167201499299,0.3,True,0.7122861591062337
BOLIVIA,BOLIVIA,2019-11-10,a_temp,72,1.029950375,-0.9349367675829452,2.9948375175829454,0.6746408222650981,0.7296808503539225,1.0,True,1.9648871425829453
BOLIVIA,BOLIVIA,2019-11-10,a_rain,72,0.04350105555555556,-0.2666438792128203,0.3536459903239314,0.06774000993668529,0.14006562591427432,0.3,True,0.31014493476837585
BOLIVIA,BOLIVIA,2021-09-05,a_temp,72,0.7438477183098591,-12.871540789247609,14.359236225867326,6.903390966989039,0.7694115684687726,1.0,True,13.615388507557467
BOLIVIA,BOLIVIA,2021-09-05,a_rain,72,0.41978642253521126,-0.42959349992880613,1.2691663449992285,0.33298739946726486,0.2734977777958645,0.3,True,0.8493799224640173
