country,unit,window_start,arm,observation,temp_form,rain_lag,train_frac,structure,aic_climate,aic_constant,delta_aic,climate_wins,weeks,cases
ARGENTINA,ARGENTINA,2013-12-29,thorough,poisson,loglinear,7,1.0,hostvector,691.5583,723.1047,-31.5464,1,36,2837.0
ARGENTINA,ARGENTINA,2013-12-29,as_run,poisson,loglinear,7,1.0,seir,635.9839,667.3854,-31.4016,1,36,2837.0
ARGENTINA,ARGENTINA,2013-12-29,thorough,poisson,loglinear,7,1.0,seir,635.9839,667.3854,-31.4016,1,36,2837.0
ARGENTINA,ARGENTINA,2013-12-29,as_run,poisson,loglinear,7,0.75,hostvector,625.5426,649.4702,-23.9275,1,27,2582.0
ARGENTINA,ARGENTINA,2013-12-29,thorough,poisson,loglinear,7,0.75,hostvector,625.5426,649.4702,-23.9275,1,27,2582.0
ARGENTINA,ARGENTINA,2013-12-29,as_run,poisson,loglinear,7,0.75,seir,569.3002,593.6566,-24.3564,1,27,2582.0
ARGENTINA,ARGENTINA,2013-12-29,thorough,poisson,loglinear,7,0.75,seir,569.3002,593.6566,-24.3564,1,27,2582.0
BELIZE,BELIZE,2020-06-07,as_run,nb,briere,3,1.0,hostvector,438.8876,435.9149,2.9727,0,52,2341.0
BELIZE,BELIZE,2020-06-07,thorough,nb,briere,3,1.0,hostvector,438.8876,435.9149,2.9727,0,52,2341.0
BELIZE,BELIZE,2020-06-07,as_run,nb,briere,3,1.0,seir,432.484,429.4626,3.0214,0,52,2341.0
BELIZE,BELIZE,2020-06-07,thorough,nb,briere,3,1.0,seir,432.484,429.4626,3.0214,0,52,2341.0
BELIZE,BELIZE,2020-06-07,as_run,nb,briere,3,0.75,hostvector,317.677,313.999,3.678,0,39,1617.0
BELIZE,BELIZE,2020-06-07,thorough,nb,briere,3,0.75,hostvector,317.677,313.999,3.678,0,39,1617.0
BELIZE,BELIZE,2020-06-07,as_run,nb,briere,3,0.75,seir,311.269,307.6303,3.6387,0,39,1617.0
BELIZE,BELIZE,2020-06-07,thorough,nb,briere,3,0.75,seir,311.269,307.6303,3.6387,0,39,1617.0
BELIZE,BELIZE,2020-06-07,as_run,nb,briere,5,1.0,hostvector,438.1276,435.9149,2.2127,0,52,2341.0
BELIZE,BELIZE,2020-06-07,thorough,nb,briere,5,1.0,hostvector,438.1276,435.9149,2.2127,0,52,2341.0
BELIZE,BELIZE,2020-06-07,as_run,nb,briere,5,1.0,seir,431.6634,429.4626,2.2009,0,52,2341.0
BELIZE,BELIZE,2020-06-07,thorough,nb,briere,5,1.0,seir,431.6634,429.4626,2.2009,0,52,2341.0
BELIZE,BELIZE,2020-06-07,as_run,nb,briere,5,0.75,hostvector,317.9718,313.999,3.9728,0,39,1617.0
BELIZE,BELIZE,2020-06-07,thorough,nb,briere,5,0.75,hostvector,317.9718,313.999,3.9728,0,39,1617.0
BELIZE,BELIZE,2020-06-07,as_run,nb,briere,5,0.75,seir,311.5879,307.6303,3.9576,0,39,1617.0
BELIZE,BELIZE,2020-06-07,thorough,nb,briere,5,0.75,seir,311.5879,307.6303,3.9576,0,39,1617.0
BELIZE,BELIZE,2020-06-07,as_run,nb,briere,7,1.0,hostvector,435.9318,435.9149,0.0169,0,52,2341.0
BELIZE,BELIZE,2020-06-07,thorough,nb,briere,7,1.0,hostvector,435.9318,435.9149,0.0169,0,52,2341.0
BELIZE,BELIZE,2020-06-07,as_run,nb,briere,7,1.0,seir,429.6174,429.4626,0.1549,0,52,2341.0
BELIZE,BELIZE,2020-06-07,thorough,nb,briere,7,1.0,seir,429.6174,429.4626,0.1549,0,52,2341.0
BELIZE,BELIZE,2020-06-07,as_run,nb,briere,7,0.75,hostvector,317.6064,313.999,3.6074,0,39,1617.0
BELIZE,BELIZE,2020-06-07,thorough,nb,briere,7,0.75,hostvector,317.6064,313.999,3.6074,0,39,1617.0
BELIZE,BELIZE,2020-06-07,as_run,nb,briere,7,0.75,seir,311.3994,307.6303,3.7691,0,39,1617.0
BELIZE,BELIZE,2020-06-07,thorough,nb,briere,7,0.75,seir,311.3994,307.6303,3.7691,0,39,1617.0
BELIZE,BELIZE,2020-06-07,as_run,nb,loglinear,3,1.0,hostvector,420.0333,435.9149,-15.8816,1,52,2341.0
BELIZE,BELIZE,2020-06-07,thorough,nb,loglinear,3,1.0,hostvector,420.0333,435.9149,-15.8816,1,52,2341.0
BELIZE,BELIZE,2020-06-07,as_run,nb,loglinear,3,1.0,seir,417.0842,429.4626,-12.3784,1,52,2341.0
BELIZE,BELIZE,2020-06-07,thorough,nb,loglinear,3,1.0,seir,417.0842,429.4626,-12.3784,1,52,2341.0
BELIZE,BELIZE,2020-06-07,as_run,nb,loglinear,3,0.75,hostvector,305.3185,313.999,-8.6805,1,39,1617.0
BELIZE,BELIZE,2020-06-07,thorough,nb,loglinear,3,0.75,hostvector,305.3185,313.999,-8.6805,1,39,1617.0
BELIZE,BELIZE,2020-06-07,as_run,nb,loglinear,3,0.75,seir,303.1442,307.6303,-4.4861,1,39,1617.0
BELIZE,BELIZE,2020-06-07,thorough,nb,loglinear,3,0.75,seir,303.1442,307.6303,-4.4861,1,39,1617.0
BELIZE,BELIZE,2020-06-07,as_run,nb,loglinear,5,1.0,hostvector,422.8081,435.9149,-13.1068,1,52,2341.0
BELIZE,BELIZE,2020-06-07,thorough,nb,loglinear,5,1.0,hostvector,422.8081,435.9149,-13.1068,1,52,2341.0
BELIZE,BELIZE,2020-06-07,as_run,nb,loglinear,5,1.0,seir,420.0833,429.4626,-9.3793,1,52,2341.0
BELIZE,BELIZE,2020-06-07,thorough,nb,loglinear,5,1.0,seir,420.0833,429.4626,-9.3793,1,52,2341.0
BELIZE,BELIZE,2020-06-07,as_run,nb,loglinear,5,0.75,hostvector,307.5653,313.999,-6.4337,1,39,1617.0
BELIZE,BELIZE,2020-06-07,thorough,nb,loglinear,5,0.75,hostvector,307.5653,313.999,-6.4337,1,39,1617.0
BELIZE,BELIZE,2020-06-07,as_run,nb,loglinear,5,0.75,seir,305.266,307.6303,-2.3643,1,39,1617.0
BELIZE,BELIZE,2020-06-07,thorough,nb,loglinear,5,0.75,seir,305.266,307.6303,-2.3643,1,39,1617.0
BELIZE,BELIZE,2020-06-07,as_run,nb,loglinear,7,1.0,hostvector,429.8541,435.9149,-6.0608,1,52,2341.0
BELIZE,BELIZE,2020-06-07,thorough,nb,loglinear,7,1.0,hostvector,429.8541,435.9149,-6.0608,1,52,2341.0
BELIZE,BELIZE,2020-06-07,as_run,nb,loglinear,7,1.0,seir,425.4271,429.4626,-4.0354,1,52,2341.0
BELIZE,BELIZE,2020-06-07,thorough,nb,loglinear,7,1.0,seir,425.4271,429.4626,-4.0354,1,52,2341.0
BELIZE,BELIZE,2020-06-07,as_run,nb,loglinear,7,0.75,hostvector,313.2875,313.999,-0.7115,1,39,1617.0
BELIZE,BELIZE,2020-06-07,thorough,nb,loglinear,7,0.75,hostvector,313.2875,313.999,-0.7115,1,39,1617.0
BELIZE,BELIZE,2020-06-07,as_run,nb,loglinear,7,0.75,seir,309.2394,307.6303,1.609,0,39,1617.0
BELIZE,BELIZE,2020-06-07,thorough,nb,loglinear,7,0.75,seir,309.2394,307.6303,1.609,0,39,1617.0
BELIZE,BELIZE,2020-06-07,as_run,poisson,briere,3,1.0,hostvector,562.6476,564.5033,-1.8557,1,52,2341.0
BELIZE,BELIZE,2020-06-07,thorough,poisson,briere,3,1.0,hostvector,562.6476,564.5033,-1.8557,1,52,2341.0
BELIZE,BELIZE,2020-06-07,as_run,poisson,briere,3,1.0,seir,545.9382,547.7049,-1.7667,1,52,2341.0
BELIZE,BELIZE,2020-06-07,thorough,poisson,briere,3,1.0,seir,545.9382,547.7049,-1.7667,1,52,2341.0
BELIZE,BELIZE,2020-06-07,as_run,poisson,briere,3,0.75,hostvector,376.2768,374.8373,1.4395,0,39,1617.0
BELIZE,BELIZE,2020-06-07,thorough,poisson,briere,3,0.75,hostvector,376.2768,374.8373,1.4395,0,39,1617.0
BELIZE,BELIZE,2020-06-07,as_run,poisson,briere,3,0.75,seir,360.874,359.4501,1.4239,0,39,1617.0
BELIZE,BELIZE,2020-06-07,thorough,poisson,briere,3,0.75,seir,360.874,359.4501,1.4239,0,39,1617.0
