country,unit,window_start,truth,observation,temp_form,rain_lag,train_frac,structure,params,delta_aic,climate_wins,climate_wins_margin4
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,loglinear,7,0.75,hostvector,alt,3.4,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,loglinear,7,0.75,seir,central,2.895,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,loglinear,7,0.75,seir,alt,2.918,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,loglinear,7,0.75,hostvector_tempmort,central,3.181,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,loglinear,7,0.75,hostvector_tempmort,alt,3.235,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,briere,3,1.0,hostvector,central,-8.421,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,briere,3,1.0,hostvector,alt,-6.383,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,briere,3,1.0,seir,central,-28.266,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,briere,3,1.0,seir,alt,-22.773,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,briere,3,1.0,hostvector_tempmort,central,-90.245,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,briere,3,1.0,hostvector_tempmort,alt,-59.95,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,briere,3,0.75,hostvector,central,-0.277,1,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,briere,3,0.75,hostvector,alt,-0.774,1,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,briere,3,0.75,seir,central,-5.469,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,briere,3,0.75,seir,alt,-2.443,1,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,briere,3,0.75,hostvector_tempmort,central,-8.916,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,briere,3,0.75,hostvector_tempmort,alt,-6.048,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,briere,5,1.0,hostvector,central,3.622,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,briere,5,1.0,hostvector,alt,3.015,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,briere,5,1.0,seir,central,-0.557,1,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,briere,5,1.0,seir,alt,0.112,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,briere,5,1.0,hostvector_tempmort,central,-31.621,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,briere,5,1.0,hostvector_tempmort,alt,-13.721,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,briere,5,0.75,hostvector,central,-12.868,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,briere,5,0.75,hostvector,alt,-10.83,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,briere,5,0.75,seir,central,-3.28,1,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,briere,5,0.75,seir,alt,-3.58,1,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,briere,5,0.75,hostvector_tempmort,central,-3.256,1,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,briere,5,0.75,hostvector_tempmort,alt,-4.115,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,briere,7,1.0,hostvector,central,-26.386,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,briere,7,1.0,hostvector,alt,-22.121,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,briere,7,1.0,seir,central,-75.763,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,briere,7,1.0,seir,alt,-87.475,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,briere,7,1.0,hostvector_tempmort,central,-157.611,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,briere,7,1.0,hostvector_tempmort,alt,-113.509,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,briere,7,0.75,hostvector,central,-95.626,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,briere,7,0.75,hostvector,alt,-91.033,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,briere,7,0.75,seir,central,-117.365,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,briere,7,0.75,seir,alt,-142.97,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,briere,7,0.75,hostvector_tempmort,central,-102.914,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,briere,7,0.75,hostvector_tempmort,alt,-98.915,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,loglinear,3,1.0,hostvector,central,-9.011,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,loglinear,3,1.0,hostvector,alt,-7.487,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,loglinear,3,1.0,seir,central,-30.026,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,loglinear,3,1.0,seir,alt,-25.326,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,loglinear,3,1.0,hostvector_tempmort,central,-93.209,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,loglinear,3,1.0,hostvector_tempmort,alt,-62.84,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,loglinear,3,0.75,hostvector,central,-1.065,1,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,loglinear,3,0.75,hostvector,alt,-1.978,1,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,loglinear,3,0.75,seir,central,-7.318,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,loglinear,3,0.75,seir,alt,-5.677,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,loglinear,3,0.75,hostvector_tempmort,central,-9.852,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,loglinear,3,0.75,hostvector_tempmort,alt,-6.221,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,loglinear,5,1.0,hostvector,central,3.309,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,loglinear,5,1.0,hostvector,alt,1.536,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,loglinear,5,1.0,seir,central,-8.066,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,loglinear,5,1.0,seir,alt,-10.207,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,loglinear,5,1.0,hostvector_tempmort,central,-36.301,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,loglinear,5,1.0,hostvector_tempmort,alt,-21.716,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,loglinear,5,0.75,hostvector,central,-12.956,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,loglinear,5,0.75,hostvector,alt,-10.957,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,loglinear,5,0.75,seir,central,-18.521,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,loglinear,5,0.75,seir,alt,-23.892,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,loglinear,5,0.75,hostvector_tempmort,central,-5.064,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,loglinear,5,0.75,hostvector_tempmort,alt,-6.734,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,loglinear,7,1.0,hostvector,central,-28.382,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,loglinear,7,1.0,hostvector,alt,-28.3,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,loglinear,7,1.0,seir,central,-63.568,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,loglinear,7,1.0,seir,alt,-63.798,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,loglinear,7,1.0,hostvector_tempmort,central,-160.46,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,loglinear,7,1.0,hostvector_tempmort,alt,-113.797,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,loglinear,7,0.75,hostvector,central,-75.885,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,loglinear,7,0.75,hostvector,alt,-24.017,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,loglinear,7,0.75,seir,central,-95.772,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,loglinear,7,0.75,seir,alt,-119.573,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,loglinear,7,0.75,hostvector_tempmort,central,-100.27,1,1
BOLIVIA,BOLIVIA,2015-01-11,no_effect,poisson,loglinear,7,0.75,hostvector_tempmort,alt,-85.187,1,1
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,briere,3,1.0,hostvector,central,2.916,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,briere,3,1.0,hostvector,alt,2.53,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,briere,3,1.0,seir,central,1.982,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,briere,3,1.0,seir,alt,2.217,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,briere,3,1.0,hostvector_tempmort,central,2.948,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,briere,3,1.0,hostvector_tempmort,alt,2.42,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,briere,3,0.75,hostvector,central,2.458,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,briere,3,0.75,hostvector,alt,2.382,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,briere,3,0.75,seir,central,2.957,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,briere,3,0.75,seir,alt,3.094,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,briere,3,0.75,hostvector_tempmort,central,2.091,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,briere,3,0.75,hostvector_tempmort,alt,1.941,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,briere,5,1.0,hostvector,central,1.911,0,0
BOLIVIA,BOLIVIA,2015-01-11,climate,nb,briere,5,1.0,hostvector,alt,0.012,0,0
