country,unit,window_start,truth,observation,temp_form,rain_lag,train_frac,structure,delta_aic,climate_wins,climate_wins_margin4
ARGENTINA,ARGENTINA,2015-12-06,climate,poisson,briere,3,1.0,hostvector,-2035.634,True,True
ARGENTINA,ARGENTINA,2015-12-06,climate,poisson,briere,3,1.0,seir,-2390.509,True,True
ARGENTINA,ARGENTINA,2015-12-06,climate,poisson,briere,3,0.75,hostvector,-2035.572,True,True
ARGENTINA,ARGENTINA,2015-12-06,climate,poisson,briere,3,0.75,seir,-2390.505,True,True
ARGENTINA,ARGENTINA,2015-12-06,climate,poisson,briere,5,1.0,hostvector,-2195.141,True,True
ARGENTINA,ARGENTINA,2015-12-06,climate,poisson,briere,5,1.0,seir,-4269.978,True,True
ARGENTINA,ARGENTINA,2015-12-06,climate,poisson,briere,5,0.75,hostvector,-2195.029,True,True
ARGENTINA,ARGENTINA,2015-12-06,climate,poisson,briere,5,0.75,seir,-4269.967,True,True
ARGENTINA,ARGENTINA,2015-12-06,climate,poisson,briere,7,1.0,hostvector,-1124.374,True,True
ARGENTINA,ARGENTINA,2015-12-06,climate,poisson,briere,7,1.0,seir,-595.819,True,True
ARGENTINA,ARGENTINA,2015-12-06,climate,poisson,briere,7,0.75,hostvector,-1124.475,True,True
ARGENTINA,ARGENTINA,2015-12-06,climate,poisson,briere,7,0.75,seir,-595.854,True,True
ARGENTINA,ARGENTINA,2015-12-06,climate,poisson,loglinear,3,1.0,hostvector,-2011.123,True,True
ARGENTINA,ARGENTINA,2015-12-06,climate,poisson,loglinear,3,1.0,seir,-2338.391,True,True
ARGENTINA,ARGENTINA,2015-12-06,climate,poisson,loglinear,3,0.75,hostvector,-2012.805,True,True
ARGENTINA,ARGENTINA,2015-12-06,climate,poisson,loglinear,3,0.75,seir,-2339.24,True,True
ARGENTINA,ARGENTINA,2015-12-06,climate,poisson,loglinear,5,1.0,hostvector,-3194.346,True,True
ARGENTINA,ARGENTINA,2015-12-06,climate,poisson,loglinear,5,1.0,seir,-4351.069,True,True
ARGENTINA,ARGENTINA,2015-12-06,climate,poisson,loglinear,5,0.75,hostvector,-3196.02,True,True
ARGENTINA,ARGENTINA,2015-12-06,climate,poisson,loglinear,5,0.75,seir,-4351.059,True,True
ARGENTINA,ARGENTINA,2015-12-06,climate,poisson,loglinear,7,1.0,hostvector,-1310.452,True,True
ARGENTINA,ARGENTINA,2015-12-06,climate,poisson,loglinear,7,1.0,seir,-881.807,True,True
ARGENTINA,ARGENTINA,2015-12-06,climate,poisson,loglinear,7,0.75,hostvector,-1330.646,True,True
ARGENTINA,ARGENTINA,2015-12-06,climate,poisson,loglinear,7,0.75,seir,-919.252,True,True
ARGENTINA,ARGENTINA,2019-12-22,no_effect,nb,briere,3,1.0,hostvector,2.377,False,False
ARGENTINA,ARGENTINA,2019-12-22,no_effect,nb,briere,3,1.0,seir,1.121,False,False
ARGENTINA,ARGENTINA,2019-12-22,no_effect,nb,briere,3,0.75,hostvector,2.352,False,False
ARGENTINA,ARGENTINA,2019-12-22,no_effect,nb,briere,3,0.75,seir,1.904,False,False
ARGENTINA,ARGENTINA,2019-12-22,no_effect,nb,briere,5,1.0,hostvector,2.977,False,False
ARGENTINA,ARGENTINA,2019-12-22,no_effect,nb,briere,5,1.0,seir,1.594,False,False
ARGENTINA,ARGENTINA,2019-12-22,no_effect,nb,briere,5,0.75,hostvector,3.223,False,False
ARGENTINA,ARGENTINA,2019-12-22,no_effect,nb,briere,5,0.75,seir,2.388,False,False
ARGENTINA,ARGENTINA,2019-12-22,no_effect,nb,briere,7,1.0,hostvector,3.433,False,False
ARGENTINA,ARGENTINA,2019-12-22,no_effect,nb,briere,7,1.0,seir,3.966,False,False
ARGENTINA,ARGENTINA,2019-12-22,no_effect,nb,briere,7,0.75,hostvector,2.706,False,False
ARGENTINA,ARGENTINA,2019-12-22,no_effect,nb,briere,7,0.75,seir,3.381,False,False
ARGENTINA,ARGENTINA,2019-12-22,no_effect,nb,loglinear,3,1.0,hostvector,2.594,False,False
ARGENTINA,ARGENTINA,2019-12-22,no_effect,nb,loglinear,3,1.0,seir,0.595,False,False
ARGENTINA,ARGENTINA,2019-12-22,no_effect,nb,loglinear,3,0.75,hostvector,2.5,False,False
ARGENTINA,ARGENTINA,2019-12-22,no_effect,nb,loglinear,3,0.75,seir,1.074,False,False
ARGENTINA,ARGENTINA,2019-12-22,no_effect,nb,loglinear,5,1.0,hostvector,3.052,False,False
ARGENTINA,ARGENTINA,2019-12-22,no_effect,nb,loglinear,5,1.0,seir,1.271,False,False
ARGENTINA,ARGENTINA,2019-12-22,no_effect,nb,loglinear,5,0.75,hostvector,3.171,False,False
ARGENTINA,ARGENTINA,2019-12-22,no_effect,nb,loglinear,5,0.75,seir,1.924,False,False
ARGENTINA,ARGENTINA,2019-12-22,no_effect,nb,loglinear,7,1.0,hostvector,3.154,False,False
ARGENTINA,ARGENTINA,2019-12-22,no_effect,nb,loglinear,7,1.0,seir,3.781,False,False
ARGENTINA,ARGENTINA,2019-12-22,no_effect,nb,loglinear,7,0.75,hostvector,2.204,False,False
ARGENTINA,ARGENTINA,2019-12-22,no_effect,nb,loglinear,7,0.75,seir,2.306,False,False
ARGENTINA,ARGENTINA,2019-12-22,no_effect,poisson,briere,3,1.0,hostvector,-2121.061,True,True
ARGENTINA,ARGENTINA,2019-12-22,no_effect,poisson,briere,3,1.0,seir,-2188.6,True,True
ARGENTINA,ARGENTINA,2019-12-22,no_effect,poisson,briere,3,0.75,hostvector,-1905.021,True,True
ARGENTINA,ARGENTINA,2019-12-22,no_effect,poisson,briere,3,0.75,seir,-1841.625,True,True
ARGENTINA,ARGENTINA,2019-12-22,no_effect,poisson,briere,5,1.0,hostvector,-443.336,True,True
ARGENTINA,ARGENTINA,2019-12-22,no_effect,poisson,briere,5,1.0,seir,-317.745,True,True
ARGENTINA,ARGENTINA,2019-12-22,no_effect,poisson,briere,5,0.75,hostvector,-1019.904,True,True
ARGENTINA,ARGENTINA,2019-12-22,no_effect,poisson,briere,5,0.75,seir,-594.028,True,True
ARGENTINA,ARGENTINA,2019-12-22,no_effect,poisson,briere,7,1.0,hostvector,-519.172,True,True
ARGENTINA,ARGENTINA,2019-12-22,no_effect,poisson,briere,7,1.0,seir,-690.849,True,True
ARGENTINA,ARGENTINA,2019-12-22,no_effect,poisson,briere,7,0.75,hostvector,-941.099,True,True
ARGENTINA,ARGENTINA,2019-12-22,no_effect,poisson,briere,7,0.75,seir,-967.594,True,True
ARGENTINA,ARGENTINA,2019-12-22,no_effect,poisson,loglinear,3,1.0,hostvector,-2158.562,True,True
