country,unit,window_start,observation,rain_lag,train_frac,structure,params,true_a_temp,true_a_rain,true_beta_0,a_temp_hat,a_temp_se,a_rain_hat,a_rain_se,beta_0_hat,beta_0_se
BOLIVIA,BOLIVIA,2015-01-11,poisson,5,0.75,hostvector_tempmort,central,1.0,0.3,0.244089,3.324156,0.815915,0.417824,0.11453,0.354477,0.067197
BOLIVIA,BOLIVIA,2015-01-11,poisson,5,0.75,hostvector_tempmort,alt,1.0,0.3,0.244089,4.193432,0.856664,0.503976,0.110519,0.355917,0.068818
BOLIVIA,BOLIVIA,2015-01-11,poisson,7,1.0,hostvector,central,1.0,0.3,0.244089,0.0,0.012755,-0.319859,0.043719,0.316661,0.01837
BOLIVIA,BOLIVIA,2015-01-11,poisson,7,1.0,hostvector,alt,1.0,0.3,0.244089,0.0,0.129762,-0.327772,0.061358,0.262536,0.017883
BOLIVIA,BOLIVIA,2015-01-11,poisson,7,1.0,seir,central,1.0,0.3,0.244089,0.76636,0.215132,-0.477227,0.057927,1.210939,0.106644
BOLIVIA,BOLIVIA,2015-01-11,poisson,7,1.0,seir,alt,1.0,0.3,0.244089,1.13212,0.255387,-0.470102,0.066066,1.709358,0.185336
BOLIVIA,BOLIVIA,2015-01-11,poisson,7,1.0,hostvector_tempmort,central,1.0,0.3,0.244089,0.0,0.005912,-0.344485,0.043037,0.33235,0.018223
BOLIVIA,BOLIVIA,2015-01-11,poisson,7,1.0,hostvector_tempmort,alt,1.0,0.3,0.244089,0.0,0.142222,-0.349385,0.051508,0.273672,0.018942
BOLIVIA,BOLIVIA,2015-01-11,poisson,7,0.75,hostvector,central,1.0,0.3,0.244089,0.0,,-0.319475,,0.31648,
BOLIVIA,BOLIVIA,2015-01-11,poisson,7,0.75,hostvector,alt,1.0,0.3,0.244089,0.0,0.480432,-0.327134,0.080937,0.262296,0.03039
BOLIVIA,BOLIVIA,2015-01-11,poisson,7,0.75,seir,central,1.0,0.3,0.244089,0.764552,0.258588,-0.477278,0.069572,1.2103,0.128065
BOLIVIA,BOLIVIA,2015-01-11,poisson,7,0.75,seir,alt,1.0,0.3,0.244089,1.130828,0.306931,-0.470121,0.079363,1.708652,0.222605
