specification,share_endorsing_climate,observation,temp_form,rain_lag,train_frac,structure,params
nb|loglinear|5|1.0|hostvector_tempmort|alt,0.6606,nb,loglinear,5,1.0,hostvector_tempmort,alt
nb|loglinear|3|1.0|hostvector_tempmort|alt,0.6606,nb,loglinear,3,1.0,hostvector_tempmort,alt
nb|loglinear|3|1.0|seir|alt,0.6561,nb,loglinear,3,1.0,seir,alt
nb|loglinear|5|1.0|seir|alt,0.6561,nb,loglinear,5,1.0,seir,alt
nb|loglinear|3|1.0|seir|central,0.6471,nb,loglinear,3,1.0,seir,central
nb|loglinear|7|0.75|hostvector_tempmort|alt,0.6335,nb,loglinear,7,0.75,hostvector_tempmort,alt
nb|loglinear|3|1.0|hostvector|alt,0.629,nb,loglinear,3,1.0,hostvector,alt
nb|loglinear|5|1.0|seir|central,0.629,nb,loglinear,5,1.0,seir,central
nb|loglinear|3|1.0|hostvector|central,0.6244,nb,loglinear,3,1.0,hostvector,central
nb|loglinear|7|0.75|hostvector|alt,0.6154,nb,loglinear,7,0.75,hostvector,alt
nb|briere|7|1.0|hostvector_tempmort|central,0.6109,nb,briere,7,1.0,hostvector_tempmort,central
nb|loglinear|7|0.75|hostvector|central,0.6109,nb,loglinear,7,0.75,hostvector,central
nb|briere|5|1.0|hostvector_tempmort|alt,0.6063,nb,briere,5,1.0,hostvector_tempmort,alt
nb|briere|7|1.0|hostvector_tempmort|alt,0.6018,nb,briere,7,1.0,hostvector_tempmort,alt
nb|briere|3|1.0|hostvector_tempmort|central,0.6018,nb,briere,3,1.0,hostvector_tempmort,central
nb|loglinear|7|0.75|hostvector_tempmort|central,0.6018,nb,loglinear,7,0.75,hostvector_tempmort,central
nb|briere|5|1.0|hostvector_tempmort|central,0.6018,nb,briere,5,1.0,hostvector_tempmort,central
nb|briere|3|1.0|seir|alt,0.6018,nb,briere,3,1.0,seir,alt
nb|briere|5|1.0|hostvector|central,0.5973,nb,briere,5,1.0,hostvector,central
nb|loglinear|5|0.75|hostvector_tempmort|alt,0.5973,nb,loglinear,5,0.75,hostvector_tempmort,alt
nb|loglinear|5|0.75|hostvector|alt,0.5928,nb,loglinear,5,0.75,hostvector,alt
nb|briere|5|1.0|seir|alt,0.5928,nb,briere,5,1.0,seir,alt
nb|briere|5|1.0|hostvector|alt,0.5928,nb,briere,5,1.0,hostvector,alt
nb|briere|3|1.0|seir|central,0.5928,nb,briere,3,1.0,seir,central
nb|loglinear|5|0.75|hostvector_tempmort|central,0.5928,nb,loglinear,5,0.75,hostvector_tempmort,central
nb|briere|7|1.0|hostvector|central,0.5882,nb,briere,7,1.0,hostvector,central
nb|briere|7|1.0|hostvector|alt,0.5882,nb,briere,7,1.0,hostvector,alt
nb|loglinear|5|0.75|hostvector|central,0.5837,nb,loglinear,5,0.75,hostvector,central
nb|briere|3|1.0|hostvector_tempmort|alt,0.5837,nb,briere,3,1.0,hostvector_tempmort,alt
nb|briere|3|1.0|hostvector|central,0.5837,nb,briere,3,1.0,hostvector,central
nb|briere|3|1.0|hostvector|alt,0.5837,nb,briere,3,1.0,hostvector,alt
