window,model,replicate,R0,pop_at_risk_M,beta_0,a_temp,a_rain,pop_frac,i0_frac
national_2013,climate,130,1.6259460707145372,0.6521545627025697,0.16259460707145373,0.17725664705528185,-0.11669941752487657,0.0034689072484179236,0.0001589728655398175
national_2013,climate,131,1.6899611603422535,0.7783000244190144,0.16899611603422535,0.13690504075183255,-0.12597345418374786,0.004139893746909651,2.189816219036932e-05
national_2013,climate,132,1.600890528911326,0.860170479462114,0.1600890528911326,0.22862722846593803,-0.13237879970132346,0.004575374890755926,0.0010363516747213936
national_2013,climate,133,1.569086437836267,0.731210675182758,0.1569086437836267,0.17170933796226945,-0.13637310376468634,0.00388941848501467,0.0005364475971985321
national_2013,climate,134,1.649735169762937,0.7759292579995307,0.1649735169762937,0.1903034827938612,-0.16161749391903754,0.0041272832872315465,0.00022942764833408174
national_2013,climate,135,1.655500206696173,0.7178513788517727,0.1655500206696173,0.1950980851320271,-0.14086097479987933,0.0038183583981477275,0.00023522069858283233
national_2013,climate,136,1.6350124586082786,0.4737119933502668,0.16350124586082787,0.1257702052619891,-0.15951762214388032,0.002519744645480143,5.06839436096469e-05
national_2013,climate,137,1.6409628961504397,1.041055257896175,0.16409628961504397,0.2755198889566383,-0.13785963454835373,0.005537527967532845,0.0016305584396059246
national_2013,climate,138,1.5689536000356996,1.1189810084714749,0.15689536000356996,0.23549263411955842,-0.15635906012779166,0.005952026640805717,0.0017628290587498356
national_2013,climate,139,1.5603654743705422,1.002928286734316,0.15603654743705422,0.2531020571347465,-0.10800571177664568,0.005334724929437851,0.0028744756687677023
national_2013,climate,140,1.660172740595004,0.3813881475508672,0.1660172740595004,0.1681174342214006,-0.22728910011722098,0.0020286603593131234,0.0001294460062656766
national_2013,climate,141,1.6206246187258964,0.6489672567840014,0.16206246187258963,0.17483659199357038,-0.15730887869957294,0.003451953493531922,0.0002792412259254019
national_2013,climate,142,1.600987053549513,0.7665208142817697,0.1600987053549513,0.143873360153645,-0.09570981045366547,0.0040772383738392004,8.411911756785091e-05
national_2013,climate,143,1.62634254299397,0.3134868390381272,0.16263425429939699,0.10997844148681032,-0.20638688739729422,0.0016674831863730168,4.291085221950052e-05
national_2013,climate,144,1.6562534600859422,1.3271452648106201,0.16562534600859422,0.29004571047981303,-0.16636853243998392,0.0070592833234607456,0.002209736204184247
national_2013,climate,145,1.5613495055555973,1.4188076400730405,0.15613495055555973,0.30846500326500226,-0.14718373074435015,0.007546849149324683,0.007760996129852506
national_2013,climate,146,1.6078153859322477,1.093808014884787,0.16078153859322478,0.25348704306602815,-0.12255839361354581,0.005818127738748868,0.002085438368277333
national_2013,climate,147,1.6217251838174502,0.7243827259149882,0.162172518381745,0.15013676137774568,-0.13344087696238846,0.003853099605930788,0.00015610543659453586
