country,unit,window_start,observation,rain_lag,train_frac,structure,params,true_a_temp,true_a_rain,a_temp_hat,a_temp_se,a_rain_hat,a_rain_se
BOLIVIA,LA PAZ,2020-09-13,poisson,5,1.0,hostvector_tempmort,alt,1.0,0.3,0.985816,4347.3948,0.059028,0.023772
BOLIVIA,LA PAZ,2020-09-13,poisson,5,0.75,hostvector,central,1.0,0.3,1.114472,39742.229352,0.147026,0.111171
BOLIVIA,LA PAZ,2020-09-13,poisson,5,0.75,hostvector,alt,1.0,0.3,0.955221,32475.244723,0.162499,0.078865
BOLIVIA,LA PAZ,2020-09-13,poisson,5,0.75,seir,central,1.0,0.3,0.94885,17954.275769,0.14587,0.047339
BOLIVIA,LA PAZ,2020-09-13,poisson,5,0.75,seir,alt,1.0,0.3,0.931324,,0.139809,0.034048
BOLIVIA,LA PAZ,2020-09-13,poisson,5,0.75,hostvector_tempmort,central,1.0,0.3,0.938431,,0.085803,
BOLIVIA,LA PAZ,2020-09-13,poisson,5,0.75,hostvector_tempmort,alt,1.0,0.3,0.952698,15458.480935,0.086025,0.059955
BOLIVIA,LA PAZ,2020-09-13,poisson,7,1.0,hostvector,central,1.0,0.3,0.994436,7735.496679,-0.000492,0.044686
BOLIVIA,LA PAZ,2020-09-13,poisson,7,1.0,hostvector,alt,1.0,0.3,1.000005,9004.71629,-0.000806,0.050989
BOLIVIA,LA PAZ,2020-09-13,poisson,7,1.0,seir,central,1.0,0.3,0.934002,14363.57058,-0.009031,0.048105
BOLIVIA,LA PAZ,2020-09-13,poisson,7,1.0,seir,alt,1.0,0.3,0.921894,23725.978625,-0.010174,0.049046
BOLIVIA,LA PAZ,2020-09-13,poisson,7,1.0,hostvector_tempmort,central,1.0,0.3,0.928815,4579.431049,-0.005169,0.028321
BOLIVIA,LA PAZ,2020-09-13,poisson,7,1.0,hostvector_tempmort,alt,1.0,0.3,0.947697,4476.786148,-0.007671,0.030652
