country,unit,window_start,location,observation,temp_form,rain_lag,train_frac,structure,params,delta_aic,climate_wins,weeks,cases
BOLIVIA,PANDO,2015-10-04,offset,nb,briere,3,1.0,seir,central,-21.696,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,offset,nb,briere,3,1.0,seir,alt,-21.918,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,offset,nb,briere,3,1.0,hostvector_tempmort,central,-26.607,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,offset,nb,briere,3,1.0,hostvector_tempmort,alt,-30.461,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,offset,nb,briere,3,0.75,hostvector,central,-30.722,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,offset,nb,briere,3,0.75,hostvector,alt,-30.712,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,offset,nb,briere,3,0.75,seir,central,-30.567,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,offset,nb,briere,3,0.75,seir,alt,-28.206,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,offset,nb,briere,3,0.75,hostvector_tempmort,central,-33.112,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,offset,nb,briere,3,0.75,hostvector_tempmort,alt,-32.507,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,offset,nb,briere,5,1.0,hostvector,central,-8.523,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,offset,nb,briere,5,1.0,hostvector,alt,-6.711,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,offset,nb,briere,5,1.0,seir,central,-12.619,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,offset,nb,briere,5,1.0,seir,alt,-12.653,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,offset,nb,briere,5,1.0,hostvector_tempmort,central,-11.373,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,offset,nb,briere,5,1.0,hostvector_tempmort,alt,-8.973,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,offset,nb,briere,5,0.75,hostvector,central,-21.384,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,offset,nb,briere,5,0.75,hostvector,alt,-21.579,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,offset,nb,briere,5,0.75,seir,central,-24.678,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,offset,nb,briere,5,0.75,seir,alt,-25.413,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,offset,nb,briere,5,0.75,hostvector_tempmort,central,-25.42,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,offset,nb,briere,5,0.75,hostvector_tempmort,alt,-25.031,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,offset,nb,briere,7,1.0,hostvector,central,-11.708,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,offset,nb,briere,7,1.0,hostvector,alt,-9.489,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,offset,nb,briere,7,1.0,seir,central,-16.414,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,offset,nb,briere,7,1.0,seir,alt,-15.976,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,offset,nb,briere,7,1.0,hostvector_tempmort,central,-15.027,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,offset,nb,briere,7,1.0,hostvector_tempmort,alt,-12.119,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,offset,nb,briere,7,0.75,hostvector,central,-29.287,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,offset,nb,briere,7,0.75,hostvector,alt,-29.241,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,offset,nb,briere,7,0.75,seir,central,-30.886,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,offset,nb,briere,7,0.75,seir,alt,-30.128,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,offset,nb,briere,7,0.75,hostvector_tempmort,central,-33.141,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,offset,nb,briere,7,0.75,hostvector_tempmort,alt,-32.537,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,offset,nb,loglinear,3,1.0,seir,central,-21.011,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,offset,nb,loglinear,3,1.0,seir,alt,851.196,0,36,3252.0
BOLIVIA,PANDO,2015-10-04,offset,nb,loglinear,3,0.75,seir,central,-25.305,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,offset,nb,loglinear,3,0.75,seir,alt,-22.797,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,offset,nb,loglinear,5,1.0,seir,central,-8.626,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,offset,nb,loglinear,5,1.0,seir,alt,-8.526,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,offset,nb,loglinear,5,0.75,seir,central,68367.148,0,27,3046.0
BOLIVIA,PANDO,2015-10-04,offset,nb,loglinear,5,0.75,seir,alt,64776.216,0,27,3046.0
BOLIVIA,PANDO,2015-10-04,offset,nb,loglinear,7,1.0,seir,central,-12.768,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,offset,nb,loglinear,7,1.0,seir,alt,-12.27,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,offset,nb,loglinear,7,0.75,seir,central,-32.045,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,offset,nb,loglinear,7,0.75,seir,alt,-31.331,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,offset,poisson,briere,3,1.0,hostvector,central,-453.636,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,offset,poisson,briere,3,1.0,hostvector,alt,-493.235,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,offset,poisson,briere,3,1.0,seir,central,-403.232,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,offset,poisson,briere,3,1.0,seir,alt,-407.951,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,offset,poisson,briere,3,1.0,hostvector_tempmort,central,-466.012,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,offset,poisson,briere,3,1.0,hostvector_tempmort,alt,-503.164,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,offset,poisson,briere,3,0.75,hostvector,central,-433.684,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,offset,poisson,briere,3,0.75,hostvector,alt,-436.368,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,offset,poisson,briere,3,0.75,seir,central,-415.738,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,offset,poisson,briere,3,0.75,seir,alt,-393.344,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,offset,poisson,briere,3,0.75,hostvector_tempmort,central,-453.005,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,offset,poisson,briere,3,0.75,hostvector_tempmort,alt,-452.085,1,27,3046.0
BOLIVIA,PANDO,2015-10-04,offset,poisson,briere,5,1.0,hostvector,central,-283.169,1,36,3252.0
BOLIVIA,PANDO,2015-10-04,offset,poisson,briere,5,1.0,hostvector,alt,-263.083,1,36,3252.0
